#: table_doi: 10.17182/hepdata.68162.v1/t63
#: name: Table 63
#: description: Average kaons v2 as a function of pT for centrality: 20-40%.

#: data_file: Table63.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,20-40%
#: Particle,Average kaons
#: Range,0.3 < pT < 6.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
0.529433,0.0402888,0.000718872,-0.000718872,-0.00447604,0.00229168
0.712134,0.0644746,0.000694045,-0.000694045,-0.00258939,0.00293166
0.903372,0.089533,0.000825338,-0.000825338,-0.0010373,0.00597071
1.09945,0.11345,0.000828532,-0.000828532,-0.000951875,0.00740345
1.29685,0.136513,0.000884124,-0.000884124,-0.000862823,0.00703998
1.49586,0.15518,0.000981019,-0.000981019,-0.000840494,0.00689846
1.69489,0.167695,0.00114125,-0.00114125,-0.000967455,0.0102409
1.89459,0.181818,0.00132165,-0.00132165,-0.000962174,0.00908489
2.0941,0.190256,0.00156072,-0.00156072,-0.001123,0.0106322
2.29413,0.197086,0.00185043,-0.00185043,-0.00126736,0.0102854
2.57697,0.203876,0.00175275,-0.00175275,-0.00107031,0.0113789
2.97741,0.202755,0.00254292,-0.00254292,-0.000970274,0.0146436
3.37648,0.199753,0.00348295,-0.00348295,-0.00139387,0.0151165
3.78105,0.184192,0.00469934,-0.00469934,-0.00285878,0.0245147
4.39749,0.163729,0.00503601,-0.00503601,-0.00071504,0.00071504
5.41081,0.139727,0.00873159,-0.00873159,-0.000717499,0.000717499
6.74443,0.10067,0.0108041,-0.0108041,-0.000715572,0.000715572
8.81796,0.117881,0.0223078,-0.0223078,-0.000725987,0.000725987
10.7821,0.0936302,0.0380308,-0.0380308,-0.000722115,0.000722115

