#: table_doi: 10.17182/hepdata.68162.v1/t19
#: name: Table 19
#: description: K0s v2 as a function of pT for centrality: 30-40%.

#: data_file: Table19.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,30-40%
#: Particle,K0s
#: Range,0.4 < pT < 6.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
0.529433,0.040973,0.003617,-0.003617,-0.005,0.001
0.712134,0.069821,0.001917,-0.001917,-0.003,0.001
0.903372,0.098845,0.001478,-0.001478,-0.001,0.001
1.09945,0.125756,0.001444,-0.001444,-0.001,0.001
1.29685,0.151085,0.00154,-0.00154,-0.001,0.001
1.49586,0.167825,0.001708,-0.001708,-0.001,0.001
1.69489,0.183282,0.001991,-0.001991,-0.001,0.001
1.89459,0.195858,0.002306,-0.002306,-0.001,0.001
2.0941,0.201758,0.002747,-0.002747,-0.001,0.001
2.29413,0.213188,0.003259,-0.003259,-0.001,0.001
2.57697,0.221918,0.002987,-0.002987,-0.001,0.001
2.97741,0.205313,0.004225,-0.004225,-0.001,0.001
3.37648,0.208511,0.005914,-0.005914,-0.001,0.001
3.78105,0.190824,0.007959,-0.007959,-0.001,0.001
4.39749,0.171782,0.007739,-0.007739,-0.001,0.001
5.41081,0.137341,0.01358,-0.01358,-0.001,0.001
6.74443,0.091595,0.01663,-0.01663,-0.001,0.001
8.81796,0.083948,0.036019,-0.036019,-0.001,0.001
10.7821,0.149237,0.060404,-0.060404,-0.001,0.001

