#: table_doi: 10.17182/hepdata.68162.v1/t1
#: name: Table 1
#: description: Charged pions v2 as a function of pT for centrality: 0-5%.

#: data_file: Table1.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,0-5%
#: Particle,Charged pions
#: Range,0.2 < pT < 6.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
0.175993,0.006901,0.000208,-0.000208,-0.002005,0.002005
0.251643,0.009302,0.000159,-0.000159,-0.002009,0.002009
0.348954,0.013952,0.000161,-0.000161,-0.002021,0.002021
0.448423,0.018502,0.000199,-0.000199,-0.002045,0.002045
0.548114,0.022623,0.000273,-0.000273,-0.002067,0.002067
0.648004,0.026856,0.000312,-0.000312,-0.002094,0.002094
0.746892,0.030627,0.000331,-0.000331,-0.002121,0.002121
0.847116,0.033172,0.000379,-0.000379,-0.002145,0.002145
0.947421,0.037037,0.000406,-0.000406,-0.002179,0.002179
1.04774,0.039787,0.000475,-0.000475,-0.002204,0.002204
1.14807,0.042973,0.000509,-0.000509,-0.002236,0.002236
1.248,0.045893,0.000599,-0.000599,-0.002263,0.002263
1.34803,0.047872,0.000644,-0.000644,-0.002284,0.002284
1.44822,0.050462,0.000762,-0.000762,-0.002316,0.002316
1.54813,0.05225,0.000824,-0.000824,-0.002337,0.002337
1.64817,0.053441,0.000982,-0.000982,-0.002357,0.002357
1.74792,0.054807,0.001061,-0.001061,-0.002373,0.002373
1.84825,0.054427,0.001263,-0.001263,-0.002374,0.002374
1.94846,0.056177,0.001365,-0.001365,-0.002396,0.002396
2.04837,0.059191,0.00164,-0.00164,-0.002409,0.002409
2.14835,0.061326,0.001774,-0.001774,-0.002437,0.002437
2.24791,0.060451,0.002114,-0.002114,-0.00245,0.00245
2.3482,0.060157,0.00228,-0.00228,-0.002493,0.002493
2.44823,0.057284,0.002688,-0.002688,-0.002461,0.002461
2.54822,0.059683,0.0029,-0.0029,-0.002526,0.002526
2.64831,0.065133,0.003417,-0.003417,-0.002755,0.002755
2.74817,0.065712,0.003662,-0.003662,-0.003155,0.003155
2.84835,0.062428,0.004283,-0.004283,-0.003596,0.003596
2.94835,0.064896,0.004565,-0.004565,-0.004287,0.004287
3.09358,0.060129,0.003441,-0.003441,-0.004425,0.004425
3.29396,0.062917,0.004234,-0.004234,-0.004443,0.004443
3.49409,0.058169,0.005099,-0.005099,-0.0044,0.0044
3.69405,0.058034,0.006165,-0.006165,-0.00441,0.00441
3.89472,0.048463,0.007495,-0.007495,-0.00396,0.00396
4.18028,0.039826,0.006536,-0.006536,-0.003234,0.003234
4.58266,0.047437,0.008514,-0.008514,-0.003405,0.003405
4.98447,-0.001506,0.015287,-0.015287,-0.002133,0.002133
5.38675,0.019296,0.015247,-0.015247,-0.002702,0.002702
5.78679,0.056689,0.014738,-0.014738,-0.003312,0.003312

