#: table_doi: 10.17182/hepdata.68162.v1/t28
#: name: Table 28
#: description: Average kaons v2 as a function of pT for centrality: 50-60%.

#: data_file: Table28.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,50-60%
#: Particle,Average kaons
#: Range,0.3 < pT < 6.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
0.528011,0.0534619,0.00212939,-0.00212939,-0.00854828,0.00307499
0.711071,0.087476,0.00178704,-0.00178704,-0.00457128,0.00302548
0.902911,0.115976,0.00203212,-0.00203212,-0.00197701,0.00198412
1.09871,0.139734,0.00219987,-0.00219987,-0.00222828,0.00240781
1.29689,0.158338,0.00243494,-0.00243494,-0.00584781,0.00772385
1.49544,0.181506,0.00269888,-0.00269888,-0.00214396,0.00215097
1.69467,0.19255,0.00301049,-0.00301049,-0.00257573,0.00263746
1.89468,0.198923,0.00344402,-0.00344402,-0.00268507,0.00267922
2.09463,0.206516,0.00395954,-0.00395954,-0.00282915,0.00281757
2.29403,0.203154,0.00473535,-0.00473535,-0.0176635,0.0138315
2.57799,0.21116,0.00530623,-0.00530623,-0.00312657,0.00402654
2.97807,0.20288,0.0080551,-0.0080551,-0.00355088,0.00377677
3.37916,0.190715,0.0100607,-0.0100607,-0.00712903,0.0102216
3.78373,0.171812,0.0138938,-0.0138938,-0.0145685,0.0252514
4.41166,0.148159,0.017445,-0.017445,-0.001,0.001
5.41607,0.107948,0.028893,-0.028893,-0.001,0.001
6.7465,0.102894,0.037468,-0.037468,-0.001,0.001
8.80614,0.130228,0.075742,-0.075742,-0.001,0.001
10.7636,0.090216,0.134782,-0.134782,-0.001,0.001

