#: table_doi: 10.17182/hepdata.68162.v1/t25
#: name: Table 25
#: description: Average kaons v2 as a function of pT for centrality: 20-30%.

#: data_file: Table25.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,20-30%
#: Particle,Average kaons
#: Range,0.3 < pT < 6.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
0.529213,0.0363083,0.000893874,-0.000893874,-0.00482024,0.00248348
0.712539,0.0590808,0.000718345,-0.000718345,-0.00369105,0.00293664
0.903805,0.0826355,0.000952539,-0.000952539,-0.00168251,0.00548224
1.09956,0.104627,0.000957262,-0.000957262,-0.00170895,0.00719178
1.2972,0.126599,0.00101922,-0.00101922,-0.00156148,0.00728529
1.49578,0.146668,0.00113008,-0.00113008,-0.00133665,0.00560414
1.69485,0.157817,0.00130712,-0.00130712,-0.00182034,0.00900819
1.89444,0.173081,0.0015079,-0.0015079,-0.00176159,0.00770653
2.09433,0.183475,0.00176142,-0.00176142,-0.00215037,0.00863939
2.29391,0.187582,0.00205895,-0.00205895,-0.00276528,0.00924442
2.57591,0.192914,0.00205829,-0.00205829,-0.00252114,0.0129423
2.9765,0.200974,0.0031574,-0.0031574,-0.00139878,0.0107369
3.37804,0.193901,0.00429823,-0.00429823,-0.00204299,0.0124777
3.77947,0.178723,0.00594061,-0.00594061,-0.00393494,0.0215076
4.39243,0.157875,0.006628,-0.006628,-0.001,0.001
5.41024,0.141426,0.011398,-0.011398,-0.001,0.001
6.74524,0.107298,0.014214,-0.014214,-0.001,0.001
8.8078,0.138878,0.028313,-0.028313,-0.001,0.001
10.7993,0.055013,0.049122,-0.049122,-0.001,0.001

