#: table_doi: 10.17182/hepdata.68162.v1/t41
#: name: Table 41
#: description: Lambda+AntiLambda v2 as a function of pT for centrality: 0-5%.

#: data_file: Table41.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,0-5%
#: Particle,Lambda+AntiLambda
#: Range,0.5 < pT < 6.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
0.728184,-0.004873,0.010889,-0.010889,-0.01,0.002
0.911796,-0.005582,0.006299,-0.006299,-0.005,0.002
1.1063,0.002692,0.004701,-0.004701,-0.002,0.002
1.30358,0.008667,0.004465,-0.004465,-0.002,0.002
1.50103,0.023541,0.003972,-0.003972,-0.002,0.002
1.6997,0.034964,0.003766,-0.003766,-0.002,0.002
1.89801,0.036892,0.003798,-0.003798,-0.002,0.002
2.09668,0.037231,0.004205,-0.004205,-0.002,0.002
2.2957,0.046393,0.004636,-0.004636,-0.002,0.002
2.57953,0.060211,0.003945,-0.003945,-0.002,0.002
2.97573,0.057541,0.005414,-0.005414,-0.002,0.002
3.37397,0.067265,0.007644,-0.007644,-0.002,0.002
3.77511,0.080612,0.011449,-0.011449,-0.002,0.002
4.35222,0.0845,0.013101,-0.013101,-0.002,0.002
5.38349,0.035349,0.031993,-0.031993,-0.002,0.002
6.65544,0.048541,0.035251,-0.035251,-0.002,0.002
8.75638,0.066724,0.081578,-0.081578,-0.002,0.002
10.7701,0.156989,0.17047,-0.17047,-0.002,0.002

