#: table_doi: 10.17182/hepdata.68162.v1/t45
#: name: Table 45
#: description: Lambda+AntiLambda v2 as a function of pT for centrality: 30-40%.

#: data_file: Table45.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,30-40%
#: Particle,Lambda+AntiLambda
#: Range,0.5 < pT < 6.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
0.725321,0.01238,0.006215,-0.006215,-0.01,0.002
0.909457,0.030551,0.003877,-0.003877,-0.005,0.002
1.10452,0.05995,0.003191,-0.003191,-0.002,0.002
1.30192,0.089512,0.003071,-0.003071,-0.002,0.002
1.49986,0.114497,0.002896,-0.002896,-0.002,0.002
1.69876,0.139626,0.002924,-0.002924,-0.002,0.002
1.89711,0.164513,0.003157,-0.003157,-0.002,0.002
2.09614,0.190548,0.003545,-0.003545,-0.002,0.002
2.29542,0.210269,0.003986,-0.003986,-0.002,0.002
2.57905,0.234849,0.003558,-0.003558,-0.002,0.002
2.97694,0.259015,0.004732,-0.004732,-0.002,0.002
3.37786,0.277646,0.006533,-0.006533,-0.002,0.002
3.77708,0.288899,0.009282,-0.009282,-0.002,0.002
4.37017,0.265872,0.009985,-0.009985,-0.002,0.002
5.39537,0.247172,0.02179,-0.02179,-0.002,0.002
6.6947,0.189466,0.027241,-0.027241,-0.002,0.002
8.84663,0.122581,0.066913,-0.066913,-0.002,0.002
10.8254,0.196172,0.122811,-0.122811,-0.002,0.002

