#: table_doi: 10.17182/hepdata.68162.v1/t21
#: name: Table 21
#: description: K0s v2 as a function of pT for centrality: 50-60%.

#: data_file: Table21.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,50-60%
#: Particle,K0s
#: Range,0.4 < pT < 6.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
0.528011,0.045382,0.008026,-0.008026,-0.005,0.001
0.711071,0.083649,0.004654,-0.004654,-0.003,0.001
0.902911,0.116682,0.003725,-0.003725,-0.001,0.001
1.09871,0.138503,0.003735,-0.003735,-0.001,0.001
1.29689,0.152827,0.003994,-0.003994,-0.001,0.001
1.49544,0.181289,0.004481,-0.004481,-0.001,0.001
1.69467,0.19362,0.005139,-0.005139,-0.001,0.001
1.89468,0.198424,0.006161,-0.006161,-0.001,0.001
2.09463,0.207056,0.006996,-0.006996,-0.001,0.001
2.29403,0.185756,0.008467,-0.008467,-0.001,0.001
2.57799,0.209073,0.007342,-0.007342,-0.001,0.001
2.97807,0.202369,0.010235,-0.010235,-0.001,0.001
3.37916,0.18556,0.014024,-0.014024,-0.001,0.001
3.78373,0.158083,0.018328,-0.018328,-0.001,0.001
4.41166,0.148159,0.017445,-0.017445,-0.001,0.001
5.41607,0.107948,0.028893,-0.028893,-0.001,0.001
6.7465,0.102894,0.037468,-0.037468,-0.001,0.001
8.80614,0.130228,0.075742,-0.075742,-0.001,0.001
10.7636,0.090216,0.134782,-0.134782,-0.001,0.001

