#: table_doi: 10.17182/hepdata.68162.v1/t48
#: name: Table 48
#: description: Xi+AntiXi v2 as a function of pT for centrality: 0-5%.

#: data_file: Table48.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,0-5%
#: Particle,Xi+AntiXi
#: Range,1.0 < pT < 6.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
1.312,0.006,0.0067,-0.0067,-0.002,0.002
1.7634,0.0225,0.0062,-0.0062,-0.0022,0.0022
2.2407,0.0367,0.0063,-0.0063,-0.0024,0.0024
2.7275,0.0612,0.0077,-0.0077,-0.0031,0.0031
3.2162,0.0632,0.0116,-0.0116,-0.0032,0.0032
3.7151,0.0673,0.0188,-0.0188,-0.0035,0.0035
4.2141,0.0852,0.0267,-0.0267,-0.0039,0.0039
4.7192,0.0764,0.0467,-0.0467,-0.004,0.004
5.3685,0.1431,0.0571,-0.0571,-0.0056,0.0056

