#: table_doi: 10.17182/hepdata.68162.v1/t59
#: name: Table 59
#: description: Omega+AntiOmega v2 as a function of pT for centrality: 40-50%.

#: data_file: Table59.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,40-50%
#: Particle,Omega+AntiOmega
#: Range,1.5 < pT < 6.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
1.7618,0.1191,0.0225,-0.0225,-0.0046,0.0046
2.2457,0.1798,0.0226,-0.0226,-0.006,0.006
2.7387,0.2359,0.0262,-0.0262,-0.0127,0.0127
3.2252,0.3252,0.0291,-0.0291,-0.0154,0.0154
3.7153,0.2869,0.0387,-0.0387,-0.0085,0.0085
4.2237,0.2036,0.0506,-0.0506,-0.0069,0.0069
4.7184,0.2854,0.0606,-0.0606,-0.0095,0.0095
5.3846,0.2588,0.0756,-0.0756,-0.0412,0.0412

