#: table_doi: 10.17182/hepdata.68162.v1/t54
#: name: Table 54
#: description: Xi+AntiXi v2 as a function of pT for centrality: 50-60%.

#: data_file: Table54.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,50-60%
#: Particle,Xi+AntiXi
#: Range,1.0 < pT < 6.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
1.2883,0.1129,0.0111,-0.0111,-0.0023,0.0023
1.7491,0.1676,0.0093,-0.0093,-0.0027,0.0027
2.237,0.222,0.01,-0.01,-0.0031,0.0031
2.7241,0.2544,0.0127,-0.0127,-0.0035,0.0035
3.2194,0.2721,0.0176,-0.0176,-0.0037,0.0037
3.7173,0.2303,0.0252,-0.0252,-0.0032,0.0032
4.2208,0.2373,0.0368,-0.0368,-0.0034,0.0034
4.715,0.2278,0.0543,-0.0543,-0.026,0.026
5.3737,0.2037,0.06,-0.06,-0.0032,0.0032

