#: table_doi: 10.17182/hepdata.68162.v1/t42
#: name: Table 42
#: description: Lambda+AntiLambda v2 as a function of pT for centrality: 5-10%.

#: data_file: Table42.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,5-10%
#: Particle,Lambda+AntiLambda
#: Range,0.5 < pT < 6.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
0.727526,0.004313,0.0076,-0.0076,-0.01,0.002
0.911734,-0.006046,0.004521,-0.004521,-0.005,0.002
1.10623,0.010331,0.003441,-0.003441,-0.002,0.002
1.30237,0.022572,0.003306,-0.003306,-0.002,0.002
1.50119,0.039314,0.002854,-0.002854,-0.002,0.002
1.69932,0.051908,0.002807,-0.002807,-0.002,0.002
1.89809,0.063047,0.002863,-0.002863,-0.002,0.002
2.09686,0.076257,0.003084,-0.003084,-0.002,0.002
2.29564,0.083407,0.003449,-0.003449,-0.002,0.002
2.59246,0.101036,0.003023,-0.003023,-0.002,0.002
2.97639,0.118069,0.00415,-0.00415,-0.002,0.002
3.37618,0.12854,0.006064,-0.006064,-0.002,0.002
3.77673,0.138655,0.008575,-0.008575,-0.002,0.002
4.36048,0.134616,0.009699,-0.009699,-0.002,0.002
5.36939,0.090419,0.022576,-0.022576,-0.002,0.002
6.66397,0.080213,0.026854,-0.026854,-0.002,0.002
8.78855,0.084138,0.063301,-0.063301,-0.002,0.002
10.8356,0.010784,0.123104,-0.123104,-0.002,0.002

