#: table_doi: 10.17182/hepdata.68162.v1/t52
#: name: Table 52
#: description: Xi+AntiXi v2 as a function of pT for centrality: 30-40%.

#: data_file: Table52.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,30-40%
#: Particle,Xi+AntiXi
#: Range,1.0 < pT < 6.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
1.297,0.0658,0.0048,-0.0048,-0.0072,0.0072
1.7561,0.1289,0.0037,-0.0037,-0.0041,0.0041
2.2383,0.1835,0.0039,-0.0039,-0.0022,0.0022
2.7277,0.2356,0.0048,-0.0048,-0.004,0.004
3.221,0.2587,0.0067,-0.0067,-0.0069,0.0069
3.7193,0.2707,0.0103,-0.0103,-0.01,0.01
4.212,0.3052,0.0155,-0.0155,-0.0133,0.0133
4.7154,0.2942,0.0242,-0.0242,-0.0165,0.0165
5.3828,0.2768,0.0301,-0.0301,-0.023,0.023

