#: table_doi: 10.17182/hepdata.68162.v1/t9
#: name: Table 9
#: description: Charged kaons v2 as a function of pT for centrality: 5-10%.

#: data_file: Table9.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,5-10%
#: Particle,Charged kaons
#: Range,0.3 < pT < 4.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
0.350965,0.006703,0.000912,-0.000912,-0.002005,0.002005
0.440686,0.013923,0.001639,-0.001639,-0.002161,0.002161
0.554881,0.018359,0.001301,-0.001301,-0.002148,0.002148
0.647394,0.024461,0.000943,-0.000943,-0.002157,0.002157
0.749674,0.032755,0.000899,-0.000899,-0.002215,0.002215
0.849998,0.038846,0.000861,-0.000861,-0.002261,0.002261
0.94958,0.046332,0.000866,-0.000866,-0.002328,0.002328
1.04925,0.054793,0.000899,-0.000899,-0.002413,0.002413
1.14905,0.061293,0.000925,-0.000925,-0.002487,0.002487
1.2491,0.066677,0.001002,-0.001002,-0.002558,0.002558
1.34878,0.073103,0.001042,-0.001042,-0.002644,0.002644
1.44855,0.07657,0.001158,-0.001158,-0.002704,0.002704
1.54841,0.081909,0.00122,-0.00122,-0.002784,0.002784
1.64824,0.085445,0.001402,-0.001402,-0.002826,0.002826
1.74817,0.089759,0.001494,-0.001494,-0.002893,0.002893
1.84803,0.093243,0.00173,-0.00173,-0.002976,0.002976
1.94791,0.095894,0.001861,-0.001861,-0.003019,0.003019
2.04794,0.104151,0.002187,-0.002187,-0.003099,0.003099
2.14791,0.108346,0.002361,-0.002361,-0.003172,0.003172
2.24805,0.110382,0.002792,-0.002792,-0.003224,0.003224
2.34783,0.109432,0.003005,-0.003005,-0.003208,0.003208
2.44779,0.108801,0.003541,-0.003541,-0.003262,0.003262
2.54781,0.112044,0.0038,-0.0038,-0.003408,0.003408
2.64778,0.119411,0.004537,-0.004537,-0.004168,0.004168
2.74783,0.117743,0.004933,-0.004933,-0.005078,0.005078
2.84766,0.125608,0.00581,-0.00581,-0.006453,0.006453
2.94786,0.120307,0.006323,-0.006323,-0.007471,0.007471
3.09129,0.120956,0.004942,-0.004942,-0.008251,0.008251
3.29154,0.117459,0.006398,-0.006398,-0.007799,0.007799
3.49213,0.110512,0.008143,-0.008143,-0.00775,0.00775
3.69086,0.112086,0.010754,-0.010754,-0.007672,0.007672
3.89003,0.136875,0.014138,-0.014138,-0.009364,0.009364

