#: table_doi: 10.17182/hepdata.68162.v1/t53
#: name: Table 53
#: description: Xi+AntiXi v2 as a function of pT for centrality: 40-50%.

#: data_file: Table53.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,40-50%
#: Particle,Xi+AntiXi
#: Range,1.0 < pT < 6.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
1.2931,0.101,0.0068,-0.0068,-0.0029,0.0029
1.7514,0.149,0.0059,-0.0059,-0.0032,0.0032
2.2378,0.2194,0.0056,-0.0056,-0.0036,0.0036
2.7246,0.2599,0.0071,-0.0071,-0.0046,0.0046
3.2219,0.2769,0.0098,-0.0098,-0.0041,0.0041
3.7169,0.2805,0.0146,-0.0146,-0.0041,0.0041
4.2158,0.2686,0.0213,-0.0213,-0.0043,0.0043
4.7172,0.263,0.0304,-0.0304,-0.004,0.004
5.3671,0.2902,0.0355,-0.0355,-0.0048,0.0048

