#: table_doi: 10.17182/hepdata.68162.v1/t49
#: name: Table 49
#: description: Xi+AntiXi v2 as a function of pT for centrality: 5-10%.

#: data_file: Table49.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,5-10%
#: Particle,Xi+AntiXi
#: Range,1.0 < pT < 6.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
1.3083,0.0199,0.0073,-0.0073,-0.0016,0.0016
1.7626,0.0482,0.0045,-0.0045,-0.0018,0.0018
2.2422,0.0692,0.0043,-0.0043,-0.0019,0.0019
2.725,0.0948,0.0052,-0.0052,-0.0021,0.0021
3.217,0.0962,0.0073,-0.0073,-0.0022,0.0022
3.7138,0.1155,0.0109,-0.0109,-0.0023,0.0023
4.2122,0.1079,0.0162,-0.0162,-0.0023,0.0023
4.7116,0.1955,0.0234,-0.0234,-0.012,0.012
5.3636,0.212,0.0324,-0.0324,-0.0037,0.0037

