#: table_doi: 10.17182/hepdata.68162.v1/t47
#: name: Table 47
#: description: Lambda+AntiLambda v2 as a function of pT for centrality: 50-60%.

#: data_file: Table47.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,50-60%
#: Particle,Lambda+AntiLambda
#: Range,0.5 < pT < 6.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
0.722731,0.033936,0.011877,-0.011877,-0.01,0.002
0.908556,0.059104,0.008313,-0.008313,-0.005,0.002
1.10265,0.096296,0.006982,-0.006982,-0.002,0.002
1.3008,0.126103,0.006772,-0.006772,-0.002,0.002
1.49857,0.152115,0.006908,-0.006908,-0.002,0.002
1.6981,0.184258,0.007236,-0.007236,-0.002,0.002
1.89625,0.193273,0.00793,-0.00793,-0.002,0.002
2.09583,0.214815,0.008914,-0.008914,-0.002,0.002
2.29481,0.235867,0.010141,-0.010141,-0.002,0.002
2.57879,0.252865,0.009016,-0.009016,-0.002,0.002
2.97761,0.283186,0.01268,-0.01268,-0.002,0.002
3.38091,0.25671,0.017536,-0.017536,-0.002,0.002
3.77756,0.238216,0.0235,-0.0235,-0.002,0.002
4.37647,0.25942,0.025282,-0.025282,-0.002,0.002
5.40153,0.280576,0.048887,-0.048887,-0.002,0.002
6.68435,0.205928,0.065665,-0.065665,-0.002,0.002
8.82549,0.176651,0.123359,-0.123359,-0.002,0.002
10.7681,0.547703,0.313255,-0.313255,-0.002,0.002

