0.11	0.1	0.12	640.1	3.6	-3.6	74.6	-74.6	1.00%	-1.00%
0.13	0.12	0.14	571.3	2.3	-2.3	61.9	-61.9	1.00%	-1.00%
0.15	0.14	0.16	516	1.8	-1.8	55.7	-55.7	1.00%	-1.00%
0.17	0.16	0.18	469	1.5	-1.5	50.6	-50.6	1.00%	-1.00%
0.19	0.18	0.2	419.3	1.3	-1.3	45.3	-45.3	1.00%	-1.00%
0.225	0.2	0.25	339.5	0.7	-0.7	23.4	-23.4	1.00%	-1.00%
0.275	0.25	0.3	261.4	0.6	-0.6	17.8	-17.8	1.00%	-1.00%
0.325	0.3	0.35	203	0.5	-0.5	14.6	-14.6	1.00%	-1.00%
0.375	0.35	0.4	159.7	0.4	-0.4	10.7	-10.7	1.00%	-1.00%
0.425	0.4	0.45	127	0.3	-0.3	8.3	-8.3	1.00%	-1.00%
0.475	0.45	0.5	100.6	0.3	-0.3	6.5	-6.5	1.00%	-1.00%
0.525	0.5	0.55	79.52	0.21	-0.21	3.85	-3.85	1.00%	-1.00%
0.575	0.55	0.6	64.5	0.18	-0.18	2.99	-2.99	1.00%	-1.00%
0.625	0.6	0.65	53.17	0.18	-0.18	2.73	-2.73	1.00%	-1.00%
0.675	0.65	0.7	43.52	0.16	-0.16	2.2	-2.2	1.00%	-1.00%
0.725	0.7	0.75	36.04	0.15	-0.15	1.78	-1.78	1.00%	-1.00%
0.775	0.75	0.8	29.83	0.13	-0.13	1.48	-1.48	1.00%	-1.00%
0.825	0.8	0.85	24.83	0.12	-0.12	1.22	-1.22	1.00%	-1.00%
0.875	0.85	0.9	20.76	0.11	-0.11	1.01	-1.01	1.00%	-1.00%
0.925	0.9	0.95	17.58	0.1	-0.1	0.85	-0.85	1.00%	-1.00%
0.975	0.95	1	14.91	0.09	-0.09	0.72	-0.72	1.00%	-1.00%
1.05	1	1.1	11.47	0.05	-0.05	0.56	-0.56	1.00%	-1.00%
1.15	1.1	1.2	8.215	0.045	-0.045	0.393	-0.393	1.00%	-1.00%
1.25	1.2	1.3	5.984	0.025	-0.025	0.36	-0.36	1.00%	-1.00%
1.35	1.3	1.4	4.338	0.02	-0.02	0.263	-0.263	1.00%	-1.00%
1.45	1.4	1.5	3.203	0.016	-0.016	0.196	-0.196	1.00%	-1.00%
1.55	1.5	1.6	2.377	0.014	-0.014	0.147	-0.147	1.00%	-1.00%
1.65	1.6	1.7	1.743	0.013	-0.013	0.109	-0.109	1.00%	-1.00%
1.75	1.7	1.8	1.291	0.009	-0.009	0.083	-0.083	1.00%	-1.00%
1.85	1.8	1.9	0.9718	0.0075	-0.0075	0.0635	-0.0635	1.00%	-1.00%
1.95	1.9	2	0.7268	0.008	-0.008	0.0487	-0.0487	1.00%	-1.00%
2.05	2	2.1	0.5583	0.0063	-0.0063	0.0384	-0.0384	1.00%	-1.00%
2.15	2.1	2.2	0.4256	0.006	-0.006	0.0302	-0.0302	1.00%	-1.00%
2.25	2.2	2.3	0.3265	0.004	-0.004	0.024	-0.024	1.00%	-1.00%
2.35	2.3	2.4	0.2515	0.0033	-0.0033	0.0191	-0.0191	1.00%	-1.00%
2.45	2.4	2.5	0.203	0.0047	-0.0047	0.0161	-0.0161	1.00%	-1.00%
2.55	2.5	2.6	0.1541	0.0037	-0.0037	0.0127	-0.0127	1.00%	-1.00%
2.65	2.6	2.7	0.122	0.0038	-0.0038	0.0105	-0.0105	1.00%	-1.00%
2.75	2.7	2.8	0.0993	0.0023	-0.0023	0.00891	-0.00891	1.00%	-1.00%
2.85	2.8	2.9	0.07645	0.00161	-0.00161	0.00717	-0.00717	1.00%	-1.00%
2.95	2.9	3	0.06035	0.0019	-0.0019	0.00593	-0.00593	1.00%	-1.00%
