#: table_doi: 10.17182/hepdata.78549.v1/t4
#: name: Table 4
#: description: v2 of anti-deuterons and deuterons vs  $p_{\mathrm T}$ for different centrality intervals
#: data_file: hepdataFig7.yaml
#: keyword reactions: PB PB --> DEUTERON X
#: keyword observables: v2 OF DEUTERON
#: keyword cmenergies: 2760.0
#: SQRT(S)/NUCLEON [GEV],,,2760.0
#: PT [GEV],,,0.8 TO 5.0
#: CENTRALITY,,,0 TO 10%
$p_{\rm T}~({\rm GeV/}c)$,$p_{\rm T}~({\rm GeV/}c)$ LOW,$p_{\rm T}~({\rm GeV/}c)$ HIGH,"${v}_{2}^{\mathrm{Tot}} \{SP, |\Delta \eta| > 0.9\}$",stat +,stat -,sys +,sys -
0.9,0.8,1.0,0.00698,0.008314,-0.008314,0.001079,-0.001079
1.1,1.0,1.2,0.0175,0.006404,-0.006404,0.003616,-0.003616
1.2999999999999998,1.2,1.4,0.007738,0.005234,-0.005234,0.001751,-0.001751
1.5,1.4,1.6,0.01048,0.003537,-0.003537,0.002339,-0.002339
1.7000000000000002,1.6,1.8,0.009821,0.003447,-0.003447,0.002065,-0.002065
1.9,1.8,2.0,0.01362,0.003798,-0.003798,0.002454,-0.002454
2.1,2.0,2.2,0.01713,0.004233,-0.004233,0.002445,-0.002445
2.3,2.2,2.4,0.02431,0.004364,-0.004364,0.002694,-0.002694
2.5,2.4,2.6,0.02601,0.00451,-0.00451,0.00223,-0.00223
2.8,2.6,3.0,0.0512,0.003207,-0.003207,0.003058,-0.003058
3.25,3.0,3.5,0.06418,0.003236,-0.003236,0.002689,-0.002689
3.75,3.5,4.0,0.0842,0.004253,-0.004253,0.002973,-0.002973
4.5,4.0,5.0,0.1083,0.006401,-0.006401,0.003432,-0.003432

#: SQRT(S)/NUCLEON [GEV],,,2760.0
#: PT [GEV],,,0.8 TO 5.0
#: CENTRALITY,,,20 TO 40%
$p_{\rm T}~({\rm GeV/}c)$,$p_{\rm T}~({\rm GeV/}c)$ LOW,$p_{\rm T}~({\rm GeV/}c)$ HIGH,"${v}_{2}^{\mathrm{Tot}} \{SP, |\Delta \eta| > 0.9\}$",stat +,stat -,sys +,sys -
0.9,0.8,1.0,0.004771,0.01234,-0.01234,0.001117,-0.001117
1.1,1.0,1.2,0.01255,0.009137,-0.009137,0.002552,-0.002552
1.2999999999999998,1.2,1.4,0.01954,0.00785,-0.00785,0.002234,-0.002234
1.5,1.4,1.6,0.04565,0.004725,-0.004725,0.00254,-0.00254
1.7000000000000002,1.6,1.8,0.04642,0.00459,-0.00459,0.002042,-0.002042
1.9,1.8,2.0,0.06345,0.004905,-0.004905,0.002436,-0.002436
2.1,2.0,2.2,0.09397,0.005372,-0.005372,0.002782,-0.002782
2.3,2.2,2.4,0.1086,0.005759,-0.005759,0.002654,-0.002654
2.5,2.4,2.6,0.1251,0.006127,-0.006127,0.002607,-0.002607
2.8,2.6,3.0,0.1702,0.004713,-0.004713,0.002939,-0.002939
3.25,3.0,3.5,0.2275,0.005198,-0.005198,0.00332,-0.00332
3.75,3.5,4.0,0.2816,0.007415,-0.007415,0.003715,-0.003715
4.5,4.0,5.0,0.3396,0.01116,-0.01116,0.004253,-0.004253

