#: table_doi: 10.17182/hepdata.78549.v1/t5
#: name: Table 5
#: description: $B_2$ vs $p_{\mathrm T/A}$ for $p_{\mathrm T/A} > $ 2.2 GeV/$c$. Low $p_{\mathrm T/A}$ points can be found here  'http://hepdata.cedar.ac.uk/view/ins1380491'
#: data_file: hepdataFig8left.yaml
#: keyword reactions: PB PB --> DEUTERON X
#: keyword observables: v2 OF DEUTERON
#: keyword cmenergies: 2760.0
#: SQRT(S)/NUCLEON [GEV],,,2760.0
#: PT [GEV],,,2.2 TO 4.0
#: CENTRALITY,,,0 TO 10%
$p_{\rm T}~({\rm GeV/}c)$,$p_{\rm T}~({\rm GeV/}c)$ LOW,$p_{\rm T}~({\rm GeV/}c)$ HIGH,$B_2$,stat +,stat -,sys +,sys -
2.35,2.2,2.5,0.0006331,3.728e-05,-3.728e-05,0.0001205,-0.0001205
2.75,2.5,3.0,0.001267,0.0001113,-0.0001113,0.0002775,-0.0002775
3.5,3.0,4.0,0.002146,0.000589,-0.000589,0.0006512,-0.0006512

#: SQRT(S)/NUCLEON [GEV],,,2760.0
#: PT [GEV],,,2.2 TO 4.0
#: CENTRALITY,,,10 TO 20%
$p_{\rm T}~({\rm GeV/}c)$,$p_{\rm T}~({\rm GeV/}c)$ LOW,$p_{\rm T}~({\rm GeV/}c)$ HIGH,$B_2$,stat +,stat -,sys +,sys -
2.35,2.2,2.5,0.00115,6.872e-05,-6.872e-05,0.0002191,-0.0002191
2.75,2.5,3.0,0.002437,0.0002893,-0.0002893,0.0005603,-0.0005603
3.5,3.0,4.0,-,-,--,-,--

#: SQRT(S)/NUCLEON [GEV],,,2760.0
#: PT [GEV],,,2.2 TO 4.0
#: CENTRALITY,,,20 TO 40%
$p_{\rm T}~({\rm GeV/}c)$,$p_{\rm T}~({\rm GeV/}c)$ LOW,$p_{\rm T}~({\rm GeV/}c)$ HIGH,$B_2$,stat +,stat -,sys +,sys -
2.35,2.2,2.5,0.00211,0.0001237,-0.0001237,0.0004017,-0.0004017
2.75,2.5,3.0,0.004228,0.0007445,-0.0007445,0.0009279,-0.0009279
3.5,3.0,4.0,-,-,--,-,--

