/storage/brno12-cerit/home/poledto1/hydro/hybrid/sampler.out/lhc2760-40-50-part2-300/	2	2212
0.32	0.00639448	0.00145892	-0.000333851	0.000111717
0.56	0.0181984	0.00135394	-0.000200113	0.000283972
0.8	0.0345804	0.00142608	0.000183616	0.000138077
1.04	0.0484267	0.00182207	0.00077047	0.000200064
1.28	0.0682925	0.0016141	0.00117241	0.000318679
1.52	0.0808998	0.00178103	0.00124413	0.000164959
1.76	0.106322	0.00344069	0.00205319	0.000533061
2	0.115444	0.00615833	0.00124093	0.000747764
2.24	0.130887	0.00833473	0.00227071	0.000990536
2.48	0.147845	0.00869046	0.00101093	0.00100026
2.72	0.12708	0.0197489	0.00394865	0.00177938
2.96	0.153056	0.0195449	0.00058567	0.00215319
3.2	0.140676	0.0362753	0.00136497	0.00514121
3.44	0.261647	0.0366821	0.0138225	0.00683515
3.68	0.265397	0.0956084	0.0052729	0.0124927
3.92	-0.0389912	0.207756	0.0162948	0.0115889
4.16	0.135413	-nan	-0.0038381	nan
4.4	0.1595	-nan	-0.0895832	nan
4.64	0.371131	-nan	0.0136724	nan
4.88	-0.0270923	-nan	-0.0918262	nan

