/storage/brno12-cerit/home/poledto1/hydro/hybrid/sampler.out/lhc2760-40-50-part2-300/	2	211
0.32	0.0138943	8.88334e-05	-nan	-nan
0.56	0.0323214	0.000140973	-nan	-nan
0.8	0.05019	0.000290533	-nan	-nan
1.04	0.0662127	0.000647174	-nan	-nan
1.28	0.0790891	0.000859466	-nan	-nan
1.52	0.0931241	0.000802202	-nan	-nan
1.76	0.105266	0.00150027	-nan	-nan
2	0.120926	0.00275223	-nan	-nan
2.24	0.132447	0.00406161	-nan	-nan
2.48	0.137483	0.00669782	-nan	-nan
2.72	0.15961	0.0109126	-nan	-nan
2.96	0.14286	0.0167976	-nan	-nan
3.2	0.193692	0.0246304	-nan	-nan
3.44	0.105177	0.0346905	-nan	-nan
3.68	0.279872	0.0720871	-nan	-nan
3.92	0.0378515	0.127827	-nan	-nan
4.16	0.00525034	-nan	-nan	-nan
4.4	-0.231922	-nan	-nan	-nan
4.64	-1.16633	-nan	-nan	nan
4.88	-nan	-nan	nan	nan

