/storage/brno12-cerit/home/poledto1/hydro/hybrid/sampler.out/lhc2760-20-30-part2-300/	2	211
0.32	0.0111452	0.000119101	-nan	-nan
0.56	0.0267935	0.000168025	-nan	-nan
0.8	0.0426308	0.00019611	-nan	-nan
1.04	0.0562784	0.000187634	-nan	-nan
1.28	0.068698	0.000567655	-nan	-nan
1.52	0.0803925	0.000755382	-nan	-nan
1.76	0.0912584	0.00105811	-nan	-nan
2	0.099485	0.000999504	-nan	-nan
2.24	0.106707	0.0028215	-nan	-nan
2.48	0.112794	0.00365132	-nan	-nan
2.72	0.123085	0.00448994	-nan	-nan
2.96	0.127348	0.00907343	-nan	-nan
3.2	0.119642	0.0134812	-nan	-nan
3.44	0.149456	0.0245608	-nan	-nan
3.68	0.123745	0.0242213	-nan	-nan
3.92	0.16205	0.0365562	-nan	-nan
4.16	0.192239	0.0917947	-nan	-nan
4.4	0.19561	-nan	-nan	-nan
4.64	-0.122968	-nan	-nan	-nan
4.88	-nan	-nan	nan	nan

