/storage/brno12-cerit/home/poledto1/hydro/hybrid/sampler.out/lhc2760-40-50-part2-300/	2	321
0.32	0.0155773	0.00054857	-nan	-nan
0.56	0.0306817	0.00043242	-nan	-nan
0.8	0.0464284	0.000713351	-nan	-nan
1.04	0.0603535	0.000513032	-nan	-nan
1.28	0.0727215	0.00155512	-nan	-nan
1.52	0.0837651	0.00129998	-nan	-nan
1.76	0.101098	0.00316697	-nan	-nan
2	0.118138	0.00646046	-nan	-nan
2.24	0.127767	0.00835616	-nan	-nan
2.48	0.118912	0.0115111	-nan	-nan
2.72	0.114058	0.0179061	-nan	-nan
2.96	0.12833	0.0262974	-nan	-nan
3.2	0.184447	0.0401611	-nan	-nan
3.44	0.130594	0.0592083	-nan	-nan
3.68	0.100444	0.0645551	-nan	-nan
3.92	0.373302	0.257288	-nan	-nan
4.16	-0.140559	-nan	-nan	-nan
4.4	0.270811	-nan	-nan	-nan
4.64	-0.0568339	-nan	-nan	nan
4.88	0.741764	-nan	-nan	nan

