/storage/brno12-cerit/home/poledto1/hydro/hybrid/sampler.out/lhc2760-50-60-norm150-3000-deuteron/	2	211
0.32	-nan	-nan	nan	nan
0.56	-nan	-nan	nan	nan
0.8	-nan	-nan	nan	nan
1.04	-nan	-nan	nan	nan
1.28	-nan	-nan	nan	nan
1.52	-nan	-nan	nan	nan
1.76	-nan	-nan	nan	nan
2	-nan	-nan	nan	nan
2.24	-nan	-nan	nan	nan
2.48	-nan	-nan	nan	nan
2.72	-nan	-nan	nan	nan
2.96	-nan	-nan	nan	nan
3.2	-nan	-nan	nan	nan
3.44	-nan	-nan	nan	nan
3.68	-nan	-nan	nan	nan
3.92	-nan	-nan	nan	nan
4.16	-nan	-nan	nan	nan
4.4	-nan	-nan	nan	nan
4.64	-nan	-nan	nan	nan
4.88	-nan	-nan	nan	nan

/storage/brno12-cerit/home/poledto1/hydro/hybrid/sampler.out/lhc2760-40-50-norm150-3000-deuteron/	2	211
0.32	-nan	-nan	nan	nan
0.56	-nan	-nan	nan	nan
0.8	-nan	-nan	nan	nan
1.04	-nan	-nan	nan	nan
1.28	-nan	-nan	nan	nan
1.52	-nan	-nan	nan	nan
1.76	-nan	-nan	nan	nan
2	-nan	-nan	nan	nan
2.24	-nan	-nan	nan	nan
2.48	-nan	-nan	nan	nan
2.72	-nan	-nan	nan	nan
2.96	-nan	-nan	nan	nan
3.2	-nan	-nan	nan	nan
3.44	-nan	-nan	nan	nan
3.68	-nan	-nan	nan	nan
3.92	-nan	-nan	nan	nan
4.16	-nan	-nan	nan	nan
4.4	-nan	-nan	nan	nan
4.64	-nan	-nan	nan	nan
4.88	-nan	-nan	nan	nan

/storage/brno12-cerit/home/poledto1/hydro/hybrid/sampler.out/lhc2760-30-40-norm150-3000-deuteron/	2	211
0.32	0.0353692	0.000110463	-nan	-nan
0.56	0.086959	0.000191083	-nan	-nan
0.8	0.135037	0.000348736	-nan	-nan
1.04	0.177738	0.000352269	-nan	-nan
1.28	0.214442	0.000389707	-nan	-nan
1.52	0.24691	0.000508999	-nan	-nan
1.76	0.275015	0.000902639	-nan	-nan
2	0.29889	0.00124952	-nan	-nan
2.24	0.321333	0.00120284	-nan	-nan
2.48	0.339628	0.00215591	-nan	-nan
2.72	0.360144	0.00226793	-nan	-nan
2.96	0.372603	0.00422139	-nan	-nan
3.2	0.392466	0.00511553	-nan	-nan
3.44	0.412504	0.00431957	-nan	-nan
3.68	0.421488	0.00801014	-nan	-nan
3.92	0.443602	0.0109141	-nan	-nan
4.16	0.429563	0.0126649	-nan	-nan
4.4	0.43703	0.0131012	-nan	-nan
4.64	0.432801	0.015237	-nan	-nan
4.88	0.440818	0.0290342	-nan	-nan

